Model,RMSE,MAE,Poisson_Dev
4_Random_Forest,122.71991449961354,86.94325994796449,47.59291206439021
6_LightGBM_Poisson,124.79421837874277,88.81871284030659,49.53040704077029
5_XGBoost_Poisson,124.92779541015625,89.08200073242188,49.75700759887695
3_Negative_Binomial_GLM,192.210992063577,134.26398384963304,137.96743331211414
1_Linear_Baseline,186.75899499077258,120.86611933280473,138.70518976395994
2_Poisson_GLM,191.14976506030328,127.16614812524739,142.21575067610337
